frequency;signal;group;sensor;time;hash
0.43019999999999997;0.569664157241;C;1;5;C-1-5
0.4304;0.570154030124;C;1;5;C-1-5
0.4306;0.570636653142;C;1;5;C-1-5
0.43079999999999996;0.570934572101;C;1;5;C-1-5
0.431;0.570288532645;C;1;5;C-1-5
0.43119999999999997;0.570963262901;C;1;5;C-1-5
0.4314;0.57056020969;C;1;5;C-1-5
0.4316;0.570504941372;C;1;5;C-1-5
0.43179999999999996;0.57059739036;C;1;5;C-1-5
0.432;0.571536354706;C;1;5;C-1-5
0.4322;0.571050922031;C;1;5;C-1-5
0.4324;0.570975386594;C;1;5;C-1-5
0.4326;0.570898046416;C;1;5;C-1-5
0.43279999999999996;0.570492668061;C;1;5;C-1-5
0.433;0.570314288297;C;1;5;C-1-5
0.4332;0.57005592905;C;1;5;C-1-5
0.4334;0.56983132503;C;1;5;C-1-5
0.4336;0.569593738854;C;1;5;C-1-5
0.43379999999999996;0.56914535611;C;1;5;C-1-5
0.434;0.567875258527;C;1;5;C-1-5
0.4342;0.567451846813;C;1;5;C-1-5
0.43439999999999995;0.566975504319;C;1;5;C-1-5
0.4346;0.566235113435;C;1;5;C-1-5
0.43479999999999996;0.564899850617;C;1;5;C-1-5
0.435;0.563392659705;C;1;5;C-1-5
0.4352;0.561771443701;C;1;5;C-1-5
0.43539999999999995;0.559783633105;C;1;5;C-1-5
0.4356;0.557703312999;C;1;5;C-1-5
0.43579999999999997;0.555188950556;C;1;5;C-1-5
0.436;0.552369439565;C;1;5;C-1-5
0.4362;0.549105757693;C;1;5;C-1-5
0.43639999999999995;0.545263067197;C;1;5;C-1-5
0.4366;0.541364011166;C;1;5;C-1-5
0.43679999999999997;0.536347903058;C;1;5;C-1-5
0.437;0.531397796685;C;1;5;C-1-5
0.4372;0.525849334302;C;1;5;C-1-5
0.43739999999999996;0.519907014655;C;1;5;C-1-5
0.4376;0.513978835453;C;1;5;C-1-5
0.43779999999999997;0.507711401649;C;1;5;C-1-5
0.438;0.501799789788;C;1;5;C-1-5
0.4382;0.496402527408;C;1;5;C-1-5
0.43839999999999996;0.491070802147;C;1;5;C-1-5
0.4386;0.486860425055;C;1;5;C-1-5
0.43879999999999997;0.483366507367;C;1;5;C-1-5
0.439;0.482487443855;C;1;5;C-1-5
0.4392;0.482196949711;C;1;5;C-1-5
0.43939999999999996;0.483640235155;C;1;5;C-1-5
0.4396;0.486640189651;C;1;5;C-1-5
0.43979999999999997;0.490036348965;C;1;5;C-1-5
0.44;0.49437269292;C;1;5;C-1-5
0.4402;0.498718032728;C;1;5;C-1-5
0.44039999999999996;0.504150572542;C;1;5;C-1-5
0.4406;0.508284210272;C;1;5;C-1-5
0.44079999999999997;0.512364606787;C;1;5;C-1-5
0.441;0.516294177912;C;1;5;C-1-5
0.4412;0.520555986712;C;1;5;C-1-5
0.44139999999999996;0.523304554576;C;1;5;C-1-5
0.4416;0.526113211639;C;1;5;C-1-5
0.44179999999999997;0.529005631892;C;1;5;C-1-5
0.442;0.531743942721;C;1;5;C-1-5
0.4422;0.534581557193;C;1;5;C-1-5
0.44239999999999996;0.536079109329;C;1;5;C-1-5
0.4426;0.538352819339;C;1;5;C-1-5
0.44279999999999997;0.539840470413;C;1;5;C-1-5
0.443;0.542259635805;C;1;5;C-1-5
0.4432;0.543655974455;C;1;5;C-1-5
0.44339999999999996;0.545035957921;C;1;5;C-1-5
0.4436;0.546578448415;C;1;5;C-1-5
0.4438;0.547432010114;C;1;5;C-1-5
0.444;0.549201056216;C;1;5;C-1-5
0.4442;0.549958755756;C;1;5;C-1-5
0.44439999999999996;0.551405834236;C;1;5;C-1-5
0.4446;0.552351315512;C;1;5;C-1-5
0.4448;0.553768269881;C;1;5;C-1-5
0.445;0.5542805749;C;1;5;C-1-5
0.4452;0.555361449606;C;1;5;C-1-5
0.44539999999999996;0.55630070237;C;1;5;C-1-5
0.4456;0.557394072281;C;1;5;C-1-5
0.4458;0.55743844522;C;1;5;C-1-5
0.446;0.558474900533;C;1;5;C-1-5
0.4462;0.558331099103;C;1;5;C-1-5
0.44639999999999996;0.560065337235;C;1;5;C-1-5
0.4466;0.554240708894;C;1;5;C-1-5
0.4468;0.564330191673;C;1;5;C-1-5
0.44699999999999995;0.560510192377;C;1;5;C-1-5
0.4472;0.562881202351;C;1;5;C-1-5
0.44739999999999996;0.562240264658;C;1;5;C-1-5
0.4476;0.56322930882;C;1;5;C-1-5
0.4478;0.5641667213;C;1;5;C-1-5
0.44799999999999995;0.563994944668;C;1;5;C-1-5
0.4482;0.5655822298;C;1;5;C-1-5
0.44839999999999997;0.565326821373;C;1;5;C-1-5
0.4486;0.56566129802;C;1;5;C-1-5
0.4488;0.566319918763;C;1;5;C-1-5
0.44899999999999995;0.566868099819;C;1;5;C-1-5
0.4492;0.566575915987;C;1;5;C-1-5
0.44939999999999997;0.567571883142;C;1;5;C-1-5
0.4496;0.568109270424;C;1;5;C-1-5
0.4498;0.568474814367;C;1;5;C-1-5
0.44999999999999996;0.568804030009;C;1;5;C-1-5
0.4502;0.569228448233;C;1;5;C-1-5
0.45039999999999997;0.570332679364;C;1;5;C-1-5
0.4506;0.569429232977;C;1;5;C-1-5
0.4508;0.570079387918;C;1;5;C-1-5
0.45099999999999996;0.570615329424;C;1;5;C-1-5
0.4512;0.57056449659;C;1;5;C-1-5
0.45139999999999997;0.571176970477;C;1;5;C-1-5
0.4516;0.571751260093;C;1;5;C-1-5
0.4518;0.571890779721;C;1;5;C-1-5
0.45199999999999996;0.571976337374;C;1;5;C-1-5
0.4522;0.572586403933;C;1;5;C-1-5
0.45239999999999997;0.572625549021;C;1;5;C-1-5
0.4526;0.573210703874;C;1;5;C-1-5
0.4528;0.573047640862;C;1;5;C-1-5
0.45299999999999996;0.573641996957;C;1;5;C-1-5
